,song_title,song_author,song_link,freq,rank_sum
0,"Casei Com a Putaria - song and lyrics by Mc Paiva ZS, MC Ryan SP, Kotim ","Mc Paiva ZS, MC Ryan SP, Kotim",https://open.spotify.com/track/1OZ4uv7OAP24Ix6j3vojLt,2.0,3.0
1,"Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo - song and lyrics by Guilherme & Benuto, Hugo & Guilherme ","Guilherme & Benuto, Hugo & Guilherme",https://open.spotify.com/track/1ELsaYdj2NlxLvkx9g24xZ,2.0,5.0
2,"Pipoco - song and lyrics by Ana Castela, Melody, Dj Chris No Beat ","Ana Castela, Melody, Dj Chris No Beat",https://open.spotify.com/track/7AwVSKaQxpidrtYBerkHKk,2.0,5.0
3,"Ai Preto - song and lyrics by L7NNON, DJ Biel do Furduncinho, Bianca ","L7NNON, DJ Biel do Furduncinho, Bianca",https://open.spotify.com/track/5vC8UAOHeG95ehRzZChniB,2.0,9.0
4,"CORAÇÃO CIGANO - Ao Vivo - song and lyrics by Luan Santana, Luísa Sonza ",Luan Santana,https://open.spotify.com/track/4vWh6tEfcLzdvYWp2IlOJS,2.0,12.0
5,"Melodia Alucinógena - song and lyrics by DJ AK BR, Dj Darge ","DJ AK BR, Dj Darge",https://open.spotify.com/track/4x5q5T5mhE1xvoCVXY6qrN,2.0,14.0
6,Fala Mal de Mim - Ao Vivo - song and lyrics by Gusttavo Lima ,Gusttavo Lima,https://open.spotify.com/track/6gEOM9IEBzvTdbwNrSkBdC,2.0,15.0
7,Te Amo Demais - song and lyrics by Marília Mendonça ,Marília Mendonça,https://open.spotify.com/track/4xxeEWGQNFQ6qehlnev5LS,2.0,15.0
8,5 Regras - Ao Vivo - song and lyrics by Jorge & Mateus ,Jorge & Mateus,https://open.spotify.com/track/3gCWngngUs1uojw33vrE8K,2.0,19.0
9,"Vento Forte - song and lyrics by Mc Jacaré, Dj Tk ","Mc Jacaré, Dj Tk",https://open.spotify.com/track/5PSkF3QpVMlAx8U5Inxj39,2.0,22.0
10,"Cheiro de Balada - Ao Vivo - song and lyrics by Hugo & Guilherme, Gusttavo Lima ","Hugo & Guilherme, Gusttavo Lima",https://open.spotify.com/track/2ykYxd8UGHOsdjP3Z5jSHh,2.0,25.0
11,"Mal Feito - Ao Vivo - song and lyrics by Hugo & Guilherme, Marília Mendonça ","Hugo & Guilherme, Jorge & Mateus",https://open.spotify.com/track/6Zw25LRLP0j0MsezDFIUM4,2.0,25.0
12,"Comunicação Falhou - Ao Vivo - song and lyrics by Mari Fernandez, NATTAN ",Mari Fernandez,https://open.spotify.com/track/7bhvRvE56NHBvedx0EeALS,2.0,25.0
13,"Baile no Morro - song and lyrics by MC Tairon, Mc Vitin Da Igrejinha, Dj Win ","MC Tairon, Mc Vitin Da Igrejinha, Dj Win",https://open.spotify.com/track/0i4UV3HjjvsUuV3BajEXoD,2.0,30.0
14,Todo Seu - Ao Vivo - song and lyrics by Jorge & Mateus ,Jorge & Mateus,https://open.spotify.com/track/4NNZZXHgn9F3cCgC1YGmLl,2.0,32.0
15,Gatilho - Ao Vivo - song and lyrics by Matheus & Kauan ,Matheus & Kauan,https://open.spotify.com/track/42nZBOwXNdO24Ml032bLBS,2.0,32.0
16,"Balanço da Rede - song and lyrics by Matheus Fernandes, Xand Avião ","Matheus Fernandes, Xand Avião",https://open.spotify.com/track/2qmG7dokbGpDGD0T5wORWt,2.0,32.0
17,Basiquinho - Ao Vivo - song and lyrics by Matheus & Kauan ,Matheus & Kauan,https://open.spotify.com/track/2HMbGPbGiqGaHXzFkQAmZI,2.0,38.0
18,Yellow - song and lyrics by Coldplay ,Coldplay,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,1.0,38.0
19,"Beijo de Glicose - Ao Vivo - song and lyrics by Diego & Victor Hugo, Jorge & Mateus ","Diego & Victor Hugo, Jorge & Mateus",https://open.spotify.com/track/6gyhp7IcNhTYzwlk8utsgP,1.0,40.0
20,Incendeia - song and lyrics by MC Kevin o Chris ,MC Kevin o Chris,https://open.spotify.com/track/0jAAnWNbcHf6X1EXOtvOT7,2.0,45.0
21,"Vampiro - song and lyrics by Matuê, WIU, Teto ","Matuê, WIU, Teto",https://open.spotify.com/track/6bTdZ7xfKp3NqqADJ8HLyj,2.0,45.0
22,"Acabei de Terminar - Ao Vivo - song and lyrics by Paulo e Nathan, Hugo & Guilherme ","Paulo e Nathan, Hugo & Guilherme",https://open.spotify.com/track/3jPp5Aukksz9Ir0gZy6lZM,2.0,47.0
23,"Tem Cabaré Essa Noite - song and lyrics by Nivaldo Marques, NATTAN ","Nivaldo Marques, NATTAN",https://open.spotify.com/track/25rz3D4oroFC0GXm3xFXnG,1.0,47.0
24,Vagabundo Chora - Ao Vivo - song and lyrics by Guilherme & Benuto ,Guilherme & Benuto,https://open.spotify.com/track/2ebFBmle5uXcdbrCAOvPcZ,1.0,47.0
25,ABALO EMOCIONAL - Ao Vivo - song and lyrics by Luan Santana ,Luan Santana,https://open.spotify.com/track/5A35xC90Nk6tXmcOAOOavi,1.0,48.0
26,Fim de Semana no Rio - song and lyrics by Teto ,Teto,https://open.spotify.com/track/7afaZ37wJJL6880z1NRgJS,1.0,48.0
