song_rank,song_name,song_author,song_link
1,"Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo - song and lyrics by Guilherme & Benuto, Hugo & Guilherme ","Guilherme & Benuto, Hugo & Guilherme",https://open.spotify.com/track/1ELsaYdj2NlxLvkx9g24xZ
2,"Pipoco - song and lyrics by Ana Castela, Melody, Dj Chris No Beat ","Ana Castela, Melody, Dj Chris No Beat",https://open.spotify.com/track/7AwVSKaQxpidrtYBerkHKk
3,Fala Mal de Mim - Ao Vivo - song and lyrics by Gusttavo Lima ,Gusttavo Lima,https://open.spotify.com/track/6gEOM9IEBzvTdbwNrSkBdC
4,Te Amo Demais - song and lyrics by Marília Mendonça ,Marília Mendonça,https://open.spotify.com/track/4xxeEWGQNFQ6qehlnev5LS
5,"Ai Preto - song and lyrics by L7NNON, DJ Biel do Furduncinho, Bianca ","L7NNON, DJ Biel do Furduncinho, Bianca",https://open.spotify.com/track/5vC8UAOHeG95ehRzZChniB
6,"Vento Forte - song and lyrics by Mc Jacaré, Dj Tk ","Mc Jacaré, Dj Tk",https://open.spotify.com/track/5PSkF3QpVMlAx8U5Inxj39
7,"CORAÇÃO CIGANO - Ao Vivo - song and lyrics by Luan Santana, Luísa Sonza ",Luan Santana,https://open.spotify.com/track/4vWh6tEfcLzdvYWp2IlOJS
8,"Bandido - song and lyrics by Zé Felipe, MC Mari ","Zé Felipe, MC Mari",https://open.spotify.com/track/5PZAbR6JHYYV9xp5gv0XES
9,"Tem Cabaré Essa Noite - song and lyrics by Nivaldo Marques, NATTAN ","Nivaldo Marques, NATTAN",https://open.spotify.com/track/25rz3D4oroFC0GXm3xFXnG
10,Todo Seu - Ao Vivo - song and lyrics by Jorge & Mateus ,Jorge & Mateus,https://open.spotify.com/track/4NNZZXHgn9F3cCgC1YGmLl
11,"Balanço da Rede - song and lyrics by Matheus Fernandes, Xand Avião ","Matheus Fernandes, Xand Avião",https://open.spotify.com/track/2qmG7dokbGpDGD0T5wORWt
12,"Mal Feito - Ao Vivo - song and lyrics by Hugo & Guilherme, Marília Mendonça ","Hugo & Guilherme, Jorge & Mateus",https://open.spotify.com/track/6Zw25LRLP0j0MsezDFIUM4
13,Termina Comigo Antes - song and lyrics by Gusttavo Lima ,Gusttavo Lima,https://open.spotify.com/track/1K8AtBJXcdq5mywMnZuARP
14,"Casei Com a Putaria - song and lyrics by Mc Paiva ZS, MC Ryan SP, Kotim ","Mc Paiva ZS, MC Ryan SP, Kotim",https://open.spotify.com/track/1OZ4uv7OAP24Ix6j3vojLt
15,"Melodia Alucinógena - song and lyrics by DJ AK BR, Dj Darge ","DJ AK BR, Dj Darge",https://open.spotify.com/track/4x5q5T5mhE1xvoCVXY6qrN
16,CACHORRINHAS - song and lyrics by Luísa Sonza ,Luísa Sonza,https://open.spotify.com/track/7KWKWJnbGJ3Soag6Oopion
17,Gatilho - Ao Vivo - song and lyrics by Matheus & Kauan ,Matheus & Kauan,https://open.spotify.com/track/42nZBOwXNdO24Ml032bLBS
18,"Comunicação Falhou - Ao Vivo - song and lyrics by Mari Fernandez, NATTAN ",Mari Fernandez,https://open.spotify.com/track/7bhvRvE56NHBvedx0EeALS
19,"Baile no Morro - song and lyrics by MC Tairon, Mc Vitin Da Igrejinha, Dj Win ","MC Tairon, Mc Vitin Da Igrejinha, Dj Win",https://open.spotify.com/track/0i4UV3HjjvsUuV3BajEXoD
20,"ERRO PLANEJADO - Ao Vivo - song and lyrics by Luan Santana, Henrique & Juliano ",Luan Santana,https://open.spotify.com/track/2TdOWHAolNaQx8gyRDVS1N
21,Nem Namorado e Nem Ficante - Ao Vivo ,"Israel & Rodolffo, Maiara & Maraisa",https://open.spotify.com/track/6bwx7pcKJY05D9S6CVa1k6
22,"Tchuco Nela - song and lyrics by MC Rogerinho, Wesley Safadão ","MC Rogerinho, Wesley Safadão",https://open.spotify.com/track/3ShKPhFkexrwl7WoyTtNND
23,Dengo - song and lyrics by João Gomes ,João Gomes,https://open.spotify.com/track/6Ulh9GPYz6JKdv04qc3q2U
24,"Cheiro de Balada - Ao Vivo - song and lyrics by Hugo & Guilherme, Gusttavo Lima ","Hugo & Guilherme, Gusttavo Lima",https://open.spotify.com/track/2ykYxd8UGHOsdjP3Z5jSHh
25,No Ouvidinho - song and lyrics by Felipe Amorim ,Felipe Amorim,https://open.spotify.com/track/4QWumyD2uwiePBBha9XBHI
26,Incendeia - song and lyrics by MC Kevin o Chris ,MC Kevin o Chris,https://open.spotify.com/track/0jAAnWNbcHf6X1EXOtvOT7
27,"Acabei de Terminar - Ao Vivo - song and lyrics by Paulo e Nathan, Hugo & Guilherme ","Paulo e Nathan, Hugo & Guilherme",https://open.spotify.com/track/3jPp5Aukksz9Ir0gZy6lZM
28,"Meu Número - Ao Vivo - song and lyrics by Hugo & Guilherme, Jorge & Mateus ","Hugo & Guilherme, Jorge & Mateus",https://open.spotify.com/track/3XF598RmEUF3XW4XKo1lyP
29,"Vai Lá Em Casa Hoje - song and lyrics by George Henrique & Rodrigo, Marília Mendonça ","George Henrique & Rodrigo, Marília Mendonça",https://open.spotify.com/track/2wSCalnGOnXdAJC0Fn8OUY
30,Molhando o Volante - song and lyrics by Jorge & Mateus ,Jorge & Mateus,https://open.spotify.com/track/3ITkrUvAA6gzxer2UIom3P
